Count,IP_Address,IP_Address_Integer
29005,"63.160.106.254",1067477758
998,"70.35.196.129",1176749185
757,"68.193.31.223",1153507295
698,"98.233.224.22",1659494422
628,"66.235.124.132",1122729092
591,"65.216.225.34",1104732450
565,"74.107.117.142",1248556430
553,"108.3.180.102",1812182118
547,"65.111.73.143",1097812367
498,"71.166.13.119",1202064759
481,"67.131.130.13",1132691981
477,"69.250.29.214",1174019542
474,"173.79.52.98",2907649122
431,"96.234.184.212",1625995476
427,"65.111.76.4",1097812996
419,"173.69.197.156",2907030940
393,"198.99.32.5",3328385029
386,"71.166.91.180",1202084788
380,"69.251.144.10",1174114314
378,"69.255.194.47",1174389295
376,"216.158.0.100",3634233444
375,"178.63.50.145",2990486161
374,"98.233.201.249",1659488761
371,"68.33.68.105",1143030889
365,"71.179.198.174",1202964142
365,"24.35.83.56",404968248
354,"98.204.222.216",1657593560
354,"76.235.204.95",1290521695
342,"98.204.104.208",1657563344
326,"69.140.136.210",1166837970
320,"74.103.36.138",1248273546
311,"68.171.231.19",1152116499
305,"38.99.96.101",644046949
296,"67.195.111.167",1136881575
293,"65.111.73.50",1097812274
292,"75.94.93.147",1264475539
290,"70.22.1.76",1175847244
289,"75.192.246.196",1270937284
286,"207.59.178.38",3476795942
277,"207.255.179.186",3489641402
277,"71.166.122.122",1202092666
269,"76.100.62.182",1281638070
268,"173.13.250.17",2903374353
265,"38.101.36.70",644162630
260,"70.109.65.17",1181565201
256,"67.233.48.246",1139355894
237,"96.244.46.146",1626615442
235,"71.179.98.2",1202938370
235,"69.140.200.85",1166854229
229,"65.210.63.19",1104297747
228,"71.200.74.24",1204308504
227,"148.177.0.100",2494627940
226,"68.33.106.229",1143040741
225,"173.79.152.13",2907674637
225,"71.213.200.174",1205192878
224,"76.100.6.92",1281623644
224,"71.246.64.171",1207320747
223,"67.83.46.37",1129524773
222,"108.3.243.249",1812198393
222,"69.171.168.180",1168877748
221,"72.81.204.114",1213320306
220,"173.75.170.208",2907417296
220,"98.192.255.38",1656815398
220,"76.100.77.20",1281641748
220,"71.166.66.230",1202078438
220,"66.188.251.201",1119681481
219,"167.102.229.77",2808538445
217,"209.135.35.83",3515294547
217,"68.54.174.115",1144434291
216,"98.237.108.170",1659727018
215,"209.169.211.116",3517567860
